mode,measure,value,scenario,city,mode_distance,model_population,country,continent
cycle,ub,1.25,Public Transport,bogota,2639788.409347168,5717079,Colombia,Latin_America
motorcycle,ub,3.9,Public Transport,bogota,12664241.813595355,5717079,Colombia,Latin_America
pedestrian,ub,3.59,Public Transport,bogota,7685007.691712811,5717079,Colombia,Latin_America
truck,ub,0.08,Public Transport,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,ub,4.84,Public Transport,bogota,10324796.101059979,5717079,Colombia,Latin_America
bus,lb,0.08,Public Transport,bogota,45376931.151856095,5717079,Colombia,Latin_America
car,lb,0.2,Public Transport,bogota,23526969.596016094,5717079,Colombia,Latin_America
cycle,lb,0.76,Public Transport,bogota,2639788.409347168,5717079,Colombia,Latin_America
motorcycle,lb,2.5,Public Transport,bogota,12664241.813595355,5717079,Colombia,Latin_America
pedestrian,lb,2.31,Public Transport,bogota,7685007.691712811,5717079,Colombia,Latin_America
truck,lb,0.01,Public Transport,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,lb,3.06,Public Transport,bogota,10324796.101059979,5717079,Colombia,Latin_America
bus,mean,0.13,Baseline,bogota,38925779.49918654,5717079,Colombia,Latin_America
car,mean,0.36,Baseline,bogota,28185306.86771144,5717079,Colombia,Latin_America
cycle,mean,1.1,Baseline,bogota,3028905.406826921,5717079,Colombia,Latin_America
motorcycle,mean,3.42,Baseline,bogota,14050058.883477107,5717079,Colombia,Latin_America
pedestrian,mean,2.92,Baseline,bogota,7612971.589004321,5717079,Colombia,Latin_America
truck,mean,0.03,Baseline,bogota,6761083.388006915,5717079,Colombia,Latin_America
active_travel,mean,4.02,Baseline,bogota,10641876.995831242,5717079,Colombia,Latin_America
